"age","job","marital","education","default","balance","housing","loan","contact","day","month","campaign","previous","Subscription","contact_success_rate","age_group","credit_risk"
30,"unemployed","married","primary","no",1787,"no","no","cellular","19","oct","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
35,"management","single","tertiary","no",1350,"yes","no","cellular","16","apr","1","1","no",0.106965174129353,"Middle-aged","Medium Risk"
30,"management","married","tertiary","no",1476,"yes","yes","unknown","3","jun","4","0","no",0.0568070519098923,"Middle-aged","High Risk"
59,"blue-collar","married","secondary","no",0,"yes","no","unknown","5","may","1","0","no",0.0568070519098923,"Senior","Medium Risk"
35,"management","single","tertiary","no",747,"no","no","cellular","23","feb","2","3","no",0.106965174129353,"Middle-aged","Medium Risk"
36,"self-employed","married","tertiary","no",307,"yes","no","cellular","14","may","1","2","no",0.142857142857143,"Middle-aged","Medium Risk"
39,"technician","married","secondary","no",147,"yes","no","cellular","6","may","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
41,"entrepreneur","married","tertiary","no",221,"yes","no","unknown","14","may","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
43,"services","married","primary","no",-88,"yes","yes","cellular","17","apr","1","2","no",0.106965174129353,"Middle-aged","High Risk"
43,"admin.","married","secondary","no",264,"yes","no","cellular","17","apr","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
36,"technician","married","tertiary","no",1109,"no","no","cellular","13","aug","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
20,"student","single","secondary","no",502,"no","no","cellular","30","apr","1","0","yes",0.0568070519098923,"Young","Medium Risk"
31,"blue-collar","married","secondary","no",360,"yes","yes","cellular","29","jan","1","1","no",0.106965174129353,"Middle-aged","High Risk"
40,"management","married","tertiary","no",194,"no","yes","cellular","29","aug","2","0","no",0.0568070519098923,"Middle-aged","High Risk"
37,"admin.","single","tertiary","no",2317,"yes","no","cellular","20","apr","1","2","no",0.106965174129353,"Middle-aged","Medium Risk"
25,"blue-collar","single","primary","no",-221,"yes","no","unknown","23","may","1","0","no",0.0568070519098923,"Middle-aged","High Risk"
31,"services","married","secondary","no",132,"no","no","cellular","7","jul","1","1","no",0.142857142857143,"Middle-aged","Medium Risk"
38,"management","divorced","unknown","no",0,"yes","no","cellular","18","nov","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
42,"management","divorced","tertiary","no",16,"no","no","cellular","19","nov","3","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
44,"services","single","secondary","no",106,"no","no","unknown","12","jun","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
44,"entrepreneur","married","secondary","no",93,"no","no","cellular","7","jul","2","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
26,"housemaid","married","tertiary","no",543,"no","no","cellular","30","jan","3","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
55,"blue-collar","married","primary","no",627,"yes","no","unknown","5","may","1","0","no",0.0568070519098923,"Senior","Medium Risk"
67,"retired","married","unknown","no",696,"no","no","telephone","17","aug","1","2","no",0.106965174129353,"Senior","Medium Risk"
56,"self-employed","married","secondary","no",784,"no","yes","cellular","30","jul","2","0","no",0.0568070519098923,"Senior","High Risk"
53,"admin.","married","secondary","no",105,"no","yes","cellular","21","aug","2","0","no",0.0568070519098923,"Senior","High Risk"
31,"technician","married","secondary","no",171,"no","no","cellular","27","aug","3","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
59,"management","married","secondary","no",42,"no","no","cellular","21","nov","1","0","no",0.0568070519098923,"Senior","Medium Risk"
49,"technician","married","tertiary","no",1235,"no","no","cellular","13","aug","3","0","yes",0.0568070519098923,"Middle-aged","Medium Risk"
42,"admin.","divorced","secondary","no",1811,"yes","no","unknown","14","may","1","0","no",0.0568070519098923,"Middle-aged","Medium Risk"
78,"retired","divorced","primary","no",229,"no","no","telephone","22","oct","1","0","yes",0.0568070519098923,"Senior","Medium Risk"
32,"blue-collar","married","secondary","no",2089,"yes","no","cellular","14","nov","1","0","yes",0.0568070519098923,"Middle-aged","Medium Risk"
23,"services","single","tertiary","no",363,"yes","no","unknown","30","may","18","0","no",0.0568070519098923,"Young","Medium Risk"
